SIZE	ASSOC	FETCHES	MISSES	IC	READ
32	1	10000020	212461	7573410	1596310
32	2	10000020	129763	7573410	1596310
32	4	10000020	103964	7573410	1596310
32	8	10000020	95656	7573410	1596310
32	256	10000020	86955	7573410	1596310
64	1	10000020	145633	7573410	1596310
64	2	10000020	62820	7573410	1596310
64	4	10000020	47567	7573410	1596310
64	8	10000020	41942	7573410	1596310
64	256	10000020	37224	7573410	1596310
128	1	10000020	70293	7573410	1596310
128	2	10000020	39515	7573410	1596310
128	4	10000020	27644	7573410	1596310
128	8	10000020	26660	7573410	1596310
128	256	10000020	25075	7573410	1596310
256	1	10000020	41247	7573410	1596310
256	2	10000020	18833	7573410	1596310
256	4	10000020	15983	7573410	1596310
256	8	10000020	17194	7573410	1596310
256	256	10000020	19689	7573410	1596310
